date,country,page,orig_desc,desc,prod_name,size,model,delivery,price,url
2015-11-02,ca,1,Dell 23 Monitor - S2316M,Dell 23 Monitor - S2316M,Dell 23 Monitor,23,S2316M,Usually Ships 8-11 Days,249.99,http://accessories.dell.com/sna/category.aspx?c=ca&category_id=6481&l=en&s=dhs&ref=3245_mh&cs=cadhs1&~ck=anav&p=1
2015-11-02,ca,1,Dell Ultrasharp 25 Monitor - UP2716D,Dell Ultrasharp 25 Monitor - UP2716D,Dell Ultrasharp 25 Monitor,25,UP2716D,Usually Ships 1-2 Weeks,1178.40,http://accessories.dell.com/sna/category.aspx?c=ca&category_id=6481&l=en&s=dhs&ref=3245_mh&cs=cadhs1&~ck=anav&p=1
2015-11-02,ca,1,Dell 27 Monitor - S2716DG,Dell 27 Monitor - S2716DG,Dell 27 Monitor,27,S2716DG,Estimated Ship Date:  11/23/2015,999.99,http://accessories.dell.com/sna/category.aspx?c=ca&category_id=6481&l=en&s=dhs&ref=3245_mh&cs=cadhs1&~ck=anav&p=1
2015-11-02,ca,1,Dell 24 Monitor – E2416H,Dell 24 Monitor - E2416H,Dell 24 Monitor,24,E2416H,Usually Ships 1-3 Days,279.99,http://accessories.dell.com/sna/category.aspx?c=ca&category_id=6481&l=en&s=dhs&ref=3245_mh&cs=cadhs1&~ck=anav&p=1
2015-11-02,ca,1,Dell 22 Monitor – E2216H,Dell 22 Monitor - E2216H,Dell 22 Monitor,22,E2216H,Usually Ships 1-3 Days,219.99,http://accessories.dell.com/sna/category.aspx?c=ca&category_id=6481&l=en&s=dhs&ref=3245_mh&cs=cadhs1&~ck=anav&p=1
2015-11-02,ca,1,Dell 22 Monitor - S2216M,Dell 22 Monitor - S2216M,Dell 22 Monitor,22,S2216M,Usually Ships 8-11 Days,229.99,http://accessories.dell.com/sna/category.aspx?c=ca&category_id=6481&l=en&s=dhs&ref=3245_mh&cs=cadhs1&~ck=anav&p=1
2015-11-02,ca,1,Dell 22 Monitor - S2216H,Dell 22 Monitor - S2216H,Dell 22 Monitor,22,S2216H,Usually Ships 8-11 Days,249.99,http://accessories.dell.com/sna/category.aspx?c=ca&category_id=6481&l=en&s=dhs&ref=3245_mh&cs=cadhs1&~ck=anav&p=1
2015-11-02,ca,1,Dell 23 Monitor - S2316H,Dell 23 Monitor - S2316H,Dell 23 Monitor,23,S2316H,Usually Ships 8-11 Days,269.99,http://accessories.dell.com/sna/category.aspx?c=ca&category_id=6481&l=en&s=dhs&ref=3245_mh&cs=cadhs1&~ck=anav&p=1
2015-11-02,ca,1,Dell 20 Monitor – E2016H,Dell 20 Monitor - E2016H,Dell 20 Monitor,20,E2016H,Usually Ships 1-3 Days,179.99,http://accessories.dell.com/sna/category.aspx?c=ca&category_id=6481&l=en&s=dhs&ref=3245_mh&cs=cadhs1&~ck=anav&p=1
2015-11-02,ca,1,Dell 22 Monitor - SE2216H,Dell 22 Monitor - SE2216H,Dell 22 Monitor,22,SE2216H,Usually Ships 8-11 Days,209.99,http://accessories.dell.com/sna/category.aspx?c=ca&category_id=6481&l=en&s=dhs&ref=3245_mh&cs=cadhs1&~ck=anav&p=1
2015-11-02,ca,1,Dell 24 Monitor - SE2416H,Dell 24 Monitor - SE2416H,Dell 24 Monitor,24,SE2416H,Usually Ships 8-11 Days,,http://accessories.dell.com/sna/category.aspx?c=ca&category_id=6481&l=en&s=dhs&ref=3245_mh&cs=cadhs1&~ck=anav&p=1
2015-11-02,ca,2,Dell 19 Monitor – E1916H,Dell 19 Monitor - E1916H,Dell 19 Monitor,19,E1916H,Usually Ships 1-3 Days,149.99,http://accessories.dell.com/sna/category.aspx?c=ca&category_id=6481&l=en&s=dhs&ref=3245_mh&cs=cadhs1&~ck=anav&p=2
2015-11-02,ca,2,Dell 23 Monitor – E2316H,Dell 23 Monitor - E2316H,Dell 23 Monitor,23,E2316H,Usually Ships 1-3 Days,249.99,http://accessories.dell.com/sna/category.aspx?c=ca&category_id=6481&l=en&s=dhs&ref=3245_mh&cs=cadhs1&~ck=anav&p=2
2015-11-02,ca,2,Dell 20 Monitor - P2016,Dell 20 Monitor - P2016,Dell 20 Monitor,20,P2016,Usually Ships Same Day,249.99,http://accessories.dell.com/sna/category.aspx?c=ca&category_id=6481&l=en&s=dhs&ref=3245_mh&cs=cadhs1&~ck=anav&p=2
2015-11-02,ca,2,Dell 24 Monitor - P2416D,Dell 24 Monitor - P2416D,Dell 24 Monitor,24,P2416D,Usually Ships Same Day,449.99,http://accessories.dell.com/sna/category.aspx?c=ca&category_id=6481&l=en&s=dhs&ref=3245_mh&cs=cadhs1&~ck=anav&p=2
2015-11-02,ca,2,Dell 24 Ultra HD 4K Monitor - P2415Q,Dell 24 Ultra HD 4K Monitor - P2415Q,Dell 24 Ultra HD 4K Monitor,24,P2415Q,Estimated Ship Date:  11/04/2015,739.99,http://accessories.dell.com/sna/category.aspx?c=ca&category_id=6481&l=en&s=dhs&ref=3245_mh&cs=cadhs1&~ck=anav&p=2
2015-11-02,ca,2,Dell 17 Monitor - E1715S,Dell 17 Monitor - E1715S,Dell 17 Monitor,17,E1715S,Estimated Ship Date:  11/04/2015,209.99,http://accessories.dell.com/sna/category.aspx?c=ca&category_id=6481&l=en&s=dhs&ref=3245_mh&cs=cadhs1&~ck=anav&p=2
2015-11-02,ca,2,Dell UltraSharp 24 Monitor - U2415,Dell UltraSharp 24 Monitor - U2415,Dell UltraSharp 24 Monitor,24,U2415,Estimated Ship Date:  11/04/2015,,http://accessories.dell.com/sna/category.aspx?c=ca&category_id=6481&l=en&s=dhs&ref=3245_mh&cs=cadhs1&~ck=anav&p=2
2015-11-02,ca,2,Dell 24 Monitor - S2415H,Dell 24 Monitor - S2415H,Dell 24 Monitor,24,S2415H,Usually Ships Same Day,,http://accessories.dell.com/sna/category.aspx?c=ca&category_id=6481&l=en&s=dhs&ref=3245_mh&cs=cadhs1&~ck=anav&p=2
2015-11-02,ca,2,Dell 55 Monitor - E5515H,Dell 55 Monitor - E5515H,Dell 55 Monitor,55,E5515H,Estimated Ship Date:  11/04/2015,1399.99,http://accessories.dell.com/sna/category.aspx?c=ca&category_id=6481&l=en&s=dhs&ref=3245_mh&cs=cadhs1&~ck=anav&p=2
2015-11-02,ca,2,Dell UltraSharp 27 Monitor - U2715H,Dell UltraSharp 27 Monitor - U2715H,Dell UltraSharp 27 Monitor,27,U2715H,Estimated Ship Date:  11/04/2015,,http://accessories.dell.com/sna/category.aspx?c=ca&category_id=6481&l=en&s=dhs&ref=3245_mh&cs=cadhs1&~ck=anav&p=2
2015-11-02,ca,2,Dell 25 Monitor - U2515H,Dell 25 Monitor - U2515H,Dell 25 Monitor,25,U2515H,Estimated Ship Date:  11/04/2015,649.99,http://accessories.dell.com/sna/category.aspx?c=ca&category_id=6481&l=en&s=dhs&ref=3245_mh&cs=cadhs1&~ck=anav&p=2
2015-11-02,ca,2,Dell 27 Ultra HD 4K Monitor - P2715Q,Dell 27 Ultra HD 4K Monitor - P2715Q,Dell 27 Ultra HD 4K Monitor,27,P2715Q,Estimated Ship Date:  11/04/2015,,http://accessories.dell.com/sna/category.aspx?c=ca&category_id=6481&l=en&s=dhs&ref=3245_mh&cs=cadhs1&~ck=anav&p=2
2015-11-02,ca,3,Dell 27 Monitor - S2715H,Dell 27 Monitor - S2715H,Dell 27 Monitor,27,S2715H,Estimated Ship Date:  11/04/2015,,http://accessories.dell.com/sna/category.aspx?c=ca&category_id=6481&l=en&s=dhs&ref=3245_mh&cs=cadhs1&~ck=anav&p=3
2015-11-02,ca,3,Dell UltraSharp 27 Ultra HD 5K Monitor with PremierColor - UP2715K,Dell UltraSharp 27 Ultra HD 5K Monitor with PremierColor - UP2715K,Dell UltraSharp 27 Ultra HD 5K Monitor with PremierColor,27,UP2715K,Estimated Ship Date:  11/04/2015,,http://accessories.dell.com/sna/category.aspx?c=ca&category_id=6481&l=en&s=dhs&ref=3245_mh&cs=cadhs1&~ck=anav&p=3
2015-11-02,ca,3,Dell UltraSharp 34 Curved Ultrawide Monitor - U3415W,Dell UltraSharp 34 Curved Ultrawide Monitor - U3415W,Dell UltraSharp 34 Curved Ultrawide Monitor,34,U3415W,Estimated Ship Date:  11/04/2015,,http://accessories.dell.com/sna/category.aspx?c=ca&category_id=6481&l=en&s=dhs&ref=3245_mh&cs=cadhs1&~ck=anav&p=3
2015-11-02,ca,3,Dell UltraSharp 23 Lync Optimized Monitor - UZ2315H,Dell UltraSharp 23 Lync Optimized Monitor - UZ2315H,Dell UltraSharp 23 Lync Optimized Monitor,23,UZ2315H,Usually Ships 7-9 Days,379.99,http://accessories.dell.com/sna/category.aspx?c=ca&category_id=6481&l=en&s=dhs&ref=3245_mh&cs=cadhs1&~ck=anav&p=3
2015-11-02,ca,3,Dell 23 Monitor - S2340L,Dell 23 Monitor - S2340L,Dell 23 Monitor,23,S2340L,Estimated Ship Date:  11/04/2015,,http://accessories.dell.com/sna/category.aspx?c=ca&category_id=6481&l=en&s=dhs&ref=3245_mh&cs=cadhs1&~ck=anav&p=3
2015-11-02,ca,3,Dell 22 Monitor - S2240L,Dell 22 Monitor - S2240L,Dell 22 Monitor,22,S2240L,Estimated Ship Date:  11/04/2015,199.99,http://accessories.dell.com/sna/category.aspx?c=ca&category_id=6481&l=en&s=dhs&ref=3245_mh&cs=cadhs1&~ck=anav&p=3
2015-11-02,ca,3,Dell S2340M 23 Inch LED monitor - Widescreen 60Hz Full HD Monitor,Dell S2340M 23 Inch LED monitor - Widescreen 60Hz Full HD Monitor,Dell S2340M 23 Inch LED monitor,23,Widescreen 60Hz Full HD Monitor,Usually Ships 1-2 Days,229.99,http://accessories.dell.com/sna/category.aspx?c=ca&category_id=6481&l=en&s=dhs&ref=3245_mh&cs=cadhs1&~ck=anav&p=3
2015-11-02,ca,3,Dell 22 Monitor - P2214H,Dell 22 Monitor - P2214H,Dell 22 Monitor,22,P2214H,Estimated Ship Date:  11/04/2015,279.99,http://accessories.dell.com/sna/category.aspx?c=ca&category_id=6481&l=en&s=dhs&ref=3245_mh&cs=cadhs1&~ck=anav&p=3
2015-11-02,ca,3,Dell UltraSharp 24 Monitor – U2414H,Dell UltraSharp 24 Monitor - U2414H,Dell UltraSharp 24 Monitor,24,U2414H,Estimated Ship Date:  11/04/2015,,http://accessories.dell.com/sna/category.aspx?c=ca&category_id=6481&l=en&s=dhs&ref=3245_mh&cs=cadhs1&~ck=anav&p=3
2015-11-02,ca,3,Dell 27 Monitor - P2714H,Dell 27 Monitor - P2714H,Dell 27 Monitor,27,P2714H,Estimated Ship Date:  11/04/2015,479.99,http://accessories.dell.com/sna/category.aspx?c=ca&category_id=6481&l=en&s=dhs&ref=3245_mh&cs=cadhs1&~ck=anav&p=3
2015-11-02,ca,3,Dell UltraSharp 32 Ultra HD 4K Monitor with PremierColor - UP3214Q,Dell UltraSharp 32 Ultra HD 4K Monitor with PremierColor - UP3214Q,Dell UltraSharp 32 Ultra HD 4K Monitor with PremierColor,32,UP3214Q,Usually Ships 13-17 Days,,http://accessories.dell.com/sna/category.aspx?c=ca&category_id=6481&l=en&s=dhs&ref=3245_mh&cs=cadhs1&~ck=anav&p=3
2015-11-02,ca,3,Dell UltraSharp 27 Monitor with PremierColor - U2713H,Dell UltraSharp 27 Monitor with PremierColor - U2713H,Dell UltraSharp 27 Monitor with PremierColor,27,U2713H,Usually Ships 4-6 Days,1129.99,http://accessories.dell.com/sna/category.aspx?c=ca&category_id=6481&l=en&s=dhs&ref=3245_mh&cs=cadhs1&~ck=anav&p=3
2015-11-02,ca,4,Dell UltraSharp 24 Monitor with PremierColor - U2413,Dell UltraSharp 24 Monitor with PremierColor - U2413,Dell UltraSharp 24 Monitor with PremierColor,24,U2413,Estimated Ship Date:  11/04/2015,,http://accessories.dell.com/sna/category.aspx?c=ca&category_id=6481&l=en&s=dhs&ref=3245_mh&cs=cadhs1&~ck=anav&p=4
2015-11-02,ca,4,Dell 24 Monitor - P2414H,Dell 24 Monitor - P2414H,Dell 24 Monitor,24,P2414H,Estimated Ship Date:  11/04/2015,349.99,http://accessories.dell.com/sna/category.aspx?c=ca&category_id=6481&l=en&s=dhs&ref=3245_mh&cs=cadhs1&~ck=anav&p=4
2015-11-02,ca,4,Dell 20 Monitor - P2014H,Dell 20 Monitor - P2014H,Dell 20 Monitor,20,P2014H,Usually Ships 5-7 Days,259.99,http://accessories.dell.com/sna/category.aspx?c=ca&category_id=6481&l=en&s=dhs&ref=3245_mh&cs=cadhs1&~ck=anav&p=4
2015-11-02,ca,4,Dell 23 Monitor - P2314H,Dell 23 Monitor - P2314H,Dell 23 Monitor,23,P2314H,Estimated Ship Date:  11/04/2015,309.99,http://accessories.dell.com/sna/category.aspx?c=ca&category_id=6481&l=en&s=dhs&ref=3245_mh&cs=cadhs1&~ck=anav&p=4
2015-11-02,ca,4,Dell 23 Touch Monitor - P2314T,Dell 23 Touch Monitor - P2314T,Dell 23 Touch Monitor,23,P2314T,Usually Ships Same Day,499.99,http://accessories.dell.com/sna/category.aspx?c=ca&category_id=6481&l=en&s=dhs&ref=3245_mh&cs=cadhs1&~ck=anav&p=4
